선수명,팀명,포지션,경기수,세트수,득점,공격시도,공격성공,공격성공률,공격효율(%),총연봉(원),총연봉(억),TPC(총공헌점수),가성비(1억당_TPC),세트당_TPC,대체선수_기준점,승리기여도(WAR),가성비(1억당_WAR),순위,시즌코드,시즌명,리그코드,리그명,팀코드,선수코드,등번호,성별,공격피블록,공격범실,세트당공격,오픈공격시도,오픈공격성공,오픈공격피블록,오픈공격범실,세트당오픈공격,오픈공격성공률,시간차공격시도,시간차공격성공,시간차공격피블록,시간차공격범실,세트당시간차공격,시간차공격성공률,이동공격시도,이동공격성공,이동공격피블록,이동공격범실,세트당이동공격,이동공격성공률,후위공격시도,후위공격성공,후위공격피블록,후위공격범실,세트당후위공격,후위공격성공률,속공시도,속공성공,속공피블록,속공범실,세트당속공,속공성공률,퀵오픈공격시도,퀵오픈공격성공,퀵오픈공격피블록,퀵오픈공격범실,세트당퀵오픈공격,퀵오픈공격성공률,서브시도,서브성공,서브범실,세트당서브,서브성공률,블로킹시도,블로킹성공,유효블로킹,블로킹범실,블로킹에러,세트당블로킹,블로킹성공률,블로킹어시스트,디그시도,디그성공,디그실패,디그에러,세트당디그,디그성공률,세트시도,세트성공,세트범실,세트당세트,세트성공률,리시브시도,리시브정확,리시브실패,리시브효율,리시브성공률,경고,기타에러,범실,이단연결,수비,세트당수비
김다솔,흥국생명,S,25,55,6,3,1,33.33,33.33,70000000.0,0.7,32.1,45.86,0.58,1.17,-1.61,-2.31,83,022,진에어 2025~2026 V-리그,201,정규리그,2004,0001565,18,2,0,0,33.33,3,1,0,0,33.33,0.14,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,87,4,8,0.07,2.79,13,1,5,6,0,0.02,0.54,5,79,58,20,1,1.05,2.32,407,130,1,2.36,7.87,0,0,0,0.0,0.0,0,10,0,0,58,1.05
박혜진,흥국생명,S,5,12,6,11,3,27.27,18.18,70000000.0,0.7,20.0,28.57,1.67,1.17,0.3,0.43,83,022,진에어 2025~2026 V-리그,201,정규리그,2004,1000054,13,2,1,0,27.27,11,3,1,0,27.27,0.52,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,33,1,2,0.08,1.06,16,2,5,8,0,0.17,0.66,3,44,40,4,0,3.33,1.29,235,85,4,7.08,4.54,1,0,1,0.0,0.03,0,6,0,0,40,3.25
김수빈,IBK기업은행,L,24,46,6,0,0,0.0,0.0,45000000.0,0.45,7.9,17.56,0.17,0.07,0.24,0.53,83,022,진에어 2025~2026 V-리그,201,정규리그,2006,1000045,7,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,55,6,3,0.13,1.77,0,0,0,0,0,0.0,0.0,0,32,28,4,0,0.61,0.86,8,2,0,0.04,0.15,14,3,2,7.14,0.49,0,3,0,0,31,0.63
최연진,IBK기업은행,S,6,11,6,9,3,33.33,11.11,50000000.0,0.5,14.4,28.8,1.31,1.17,0.08,0.15,83,022,진에어 2025~2026 V-리그,201,정규리그,2006,1000452,17,2,2,0,33.33,9,3,2,0,33.33,0.38,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,20,2,2,0.18,0.64,22,1,11,5,1,0.09,0.85,1,30,19,11,0,1.73,0.81,180,58,1,5.27,3.3,1,0,0,0.0,0.04,0,4,0,0,19,1.73
김연수,흥국생명,S,22,47,5,0,0,0.0,0.0,33000000.0,0.33,16.2,49.09,0.34,1.17,-1.94,-5.88,87,022,진에어 2025~2026 V-리그,201,정규리그,2004,1000456,16,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,76,5,9,0.11,2.44,5,0,3,2,0,0.0,0.21,1,38,32,6,0,0.68,1.11,224,74,0,1.57,4.33,0,0,0,0.0,0.0,0,9,0,0,32,0.68
김효임,GS칼텍스,L,25,76,5,0,0,0.0,0.0,40000000.0,0.4,23.7,59.25,0.31,0.07,0.93,2.32,87,022,진에어 2025~2026 V-리그,201,정규리그,2005,1000551,2,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,123,5,5,0.07,3.94,0,0,0,0,0,0.0,0.0,0,88,75,12,1,0.99,2.76,20,4,0,0.05,0.4,125,43,5,30.4,4.43,0,6,0,0,118,1.49
이소영,IBK기업은행,OH,2,5,5,20,4,20.0,5.0,700000000.0,7.0,4.9,0.7,0.98,0.63,0.09,0.01,87,022,진에어 2025~2026 V-리그,201,정규리그,2006,0001385,1,2,1,2,20.0,12,2,0,1,16.67,0.51,1,0,0,1,0.0,1.35,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,7,2,1,0,28.57,0.4,8,0,1,0.0,0.26,9,1,4,4,0,0.2,0.35,1,21,19,2,0,3.8,0.57,5,1,0,0.2,0.09,23,8,1,30.43,0.81,0,3,0,0,27,5.2
지민경,현대건설,OH,1,2,4,10,3,30.0,20.0,50000000.0,0.5,1.2,2.4,0.6,0.63,-0.0,-0.01,90,022,진에어 2025~2026 V-리그,201,정규리그,2001,0001859,10,2,0,1,30.0,5,1,0,0,20.0,0.24,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,5,2,0,1,40.0,0.24,4,0,0,0.0,0.12,2,1,1,0,0,0.5,0.08,0,3,3,0,0,1.5,0.08,3,1,0,0.5,0.05,17,3,4,0.0,0.6,0,1,0,0,6,1.0
강서우,현대건설,MB,6,9,4,6,1,16.67,0.0,35000000.0,0.35,-0.1,-0.29,-0.01,0.72,-0.33,-0.94,90,022,진에어 2025~2026 V-리그,201,정규리그,2001,1000444,11,2,1,0,16.67,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,1,1,0,16.67,1.47,0,0,0,0,0.0,0.0,8,0,3,0.0,0.25,13,3,2,4,0,0.33,0.52,1,2,2,0,0,0.22,0.05,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,3,0,0,2,0.22
김현지,한국도로공사,OH,2,4,4,7,1,14.29,0.0,,,4.0,,1.0,0.63,0.07,,90,022,진에어 2025~2026 V-리그,201,정규리그,2002,0001702,17,2,1,0,14.29,3,1,0,0,33.33,0.14,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,0,1,0,0.0,1.11,0,0,0,0,0.0,0.0,8,1,1,0.25,0.25,10,2,6,2,0,0.5,0.39,1,6,6,0,0,1.5,0.18,2,1,0,0.25,0.04,7,2,0,28.57,0.25,0,1,0,0,8,2.0
